Model,Precision,Recall (detection rate),F1-score,False-positive rate,ROC-AUC
Logistic Regression,0.963 ± 0.002,0.963 ± 0.001,0.963 ± 0.001,0.021 ± 0.001,0.996 ± 0.000
Random Forest,0.979 ± 0.001,0.958 ± 0.001,0.969 ± 0.001,0.011 ± 0.001,0.997 ± 0.000
SVM,0.962 ± 0.000,0.956 ± 0.000,0.959 ± 0.000,0.021 ± 0.000,0.996 ± 0.000
DistilBERT,0.970 ± 0.008,0.972 ± 0.004,0.971 ± 0.002,0.017 ± 0.005,0.998 ± 0.000
BERT,0.975 ± 0.007,0.970 ± 0.004,0.972 ± 0.001,0.014 ± 0.004,0.998 ± 0.000
Keyword filter (baseline),0.782,0.451,0.572,0.071,0.690
ProtectAI DeBERTa (off-the-shelf),0.974,0.818,0.889,0.012,0.984
